match,home_team,away_team,market,player_name,line,over_price,agency,under_price
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Smriti Mandhana,49.5,3.7,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Smriti Mandhana,99.5,12,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Shafali Verma,9.5,1.37,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Shafali Verma,19.5,1.91,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Shafali Verma,29.5,2.6,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Shafali Verma,39.5,3.5,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Shafali Verma,49.5,4.6,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Harmanpreet Kaur,9.5,1.35,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Harmanpreet Kaur,19.5,1.85,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Harmanpreet Kaur,29.5,2.5,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Harmanpreet Kaur,39.5,3.3,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Harmanpreet Kaur,49.5,4.3,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Jemimah Rodrigues,9.5,1.4,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Jemimah Rodrigues,19.5,1.98,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Jemimah Rodrigues,29.5,2.75,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Jemimah Rodrigues,39.5,3.7,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Jemimah Rodrigues,49.5,4.9,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Suzie Bates,9.5,1.4,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Suzie Bates,19.5,1.98,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Suzie Bates,29.5,2.75,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Suzie Bates,39.5,3.7,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Suzie Bates,49.5,4.9,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Georgia Plimmer,9.5,1.59,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Georgia Plimmer,19.5,2.5,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Georgia Plimmer,29.5,3.8,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Georgia Plimmer,39.5,5.5,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Georgia Plimmer,49.5,7,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Amelia Kerr,9.5,1.37,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Amelia Kerr,19.5,1.91,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Amelia Kerr,29.5,2.6,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Amelia Kerr,39.5,3.5,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Amelia Kerr,49.5,4.6,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Sophie Devine,9.5,1.37,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Sophie Devine,19.5,1.91,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Sophie Devine,29.5,2.6,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Sophie Devine,39.5,3.5,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Sophie Devine,49.5,4.6,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Beth Mooney,9.5,1.25,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Beth Mooney,19.5,1.62,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Beth Mooney,29.5,2.05,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Beth Mooney,39.5,2.6,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Beth Mooney,49.5,3.2,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Beth Mooney,99.5,11,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Alyssa Healy,9.5,1.31,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Alyssa Healy,19.5,1.75,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Alyssa Healy,29.5,2.3,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Alyssa Healy,39.5,3,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Alyssa Healy,49.5,3.9,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Alyssa Healy,99.5,13,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Ellyse Perry,9.5,1.31,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Ellyse Perry,19.5,1.75,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Ellyse Perry,29.5,2.3,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Ellyse Perry,39.5,3,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Ellyse Perry,49.5,3.9,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Ellyse Perry,99.5,13,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Chamari Athapaththu,9.5,1.4,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Chamari Athapaththu,19.5,1.98,Pointsbet,NA
