match,market,home_team,away_team,line,over_price,under_price,agency,player_name
South Africa v West Indies,Player Runs,South Africa,West Indies,99.5,51,NA,TAB,Deandra Dottin
South Africa v West Indies,Player Runs,South Africa,West Indies,9.5,1.25,NA,TAB,Hayley Matthews
South Africa v West Indies,Player Runs,South Africa,West Indies,24.5,1.8,NA,TAB,Hayley Matthews
South Africa v West Indies,Player Runs,South Africa,West Indies,49.5,3.2,NA,TAB,Hayley Matthews
South Africa v West Indies,Player Runs,South Africa,West Indies,99.5,15,NA,TAB,Hayley Matthews
South Africa v West Indies,Player Runs,South Africa,West Indies,9.5,1.36,NA,TAB,Laura Wolvaardt
South Africa v West Indies,Player Runs,South Africa,West Indies,24.5,2.1,NA,TAB,Laura Wolvaardt
South Africa v West Indies,Player Runs,South Africa,West Indies,49.5,4.25,NA,TAB,Laura Wolvaardt
South Africa v West Indies,Player Runs,South Africa,West Indies,99.5,29,NA,TAB,Laura Wolvaardt
South Africa v West Indies,Player Runs,South Africa,West Indies,9.5,1.4,NA,TAB,Marizanne Kapp
South Africa v West Indies,Player Runs,South Africa,West Indies,24.5,2.3,NA,TAB,Marizanne Kapp
South Africa v West Indies,Player Runs,South Africa,West Indies,49.5,5,NA,TAB,Marizanne Kapp
South Africa v West Indies,Player Runs,South Africa,West Indies,99.5,41,NA,TAB,Marizanne Kapp
South Africa v West Indies,Player Runs,South Africa,West Indies,9.5,1.5,NA,TAB,Shemaine Campbelle
South Africa v West Indies,Player Runs,South Africa,West Indies,24.5,2.8,NA,TAB,Shemaine Campbelle
South Africa v West Indies,Player Runs,South Africa,West Indies,49.5,7.5,NA,TAB,Shemaine Campbelle
South Africa v West Indies,Player Runs,South Africa,West Indies,99.5,101,NA,TAB,Shemaine Campbelle
South Africa v West Indies,Player Runs,South Africa,West Indies,9.5,1.38,NA,TAB,Stafanie Taylor
South Africa v West Indies,Player Runs,South Africa,West Indies,24.5,2.2,NA,TAB,Stafanie Taylor
South Africa v West Indies,Player Runs,South Africa,West Indies,49.5,4.5,NA,TAB,Stafanie Taylor
South Africa v West Indies,Player Runs,South Africa,West Indies,99.5,34,NA,TAB,Stafanie Taylor
South Africa v West Indies,Player Runs,South Africa,West Indies,9.5,1.5,NA,TAB,Sune Luus
South Africa v West Indies,Player Runs,South Africa,West Indies,24.5,2.75,NA,TAB,Sune Luus
South Africa v West Indies,Player Runs,South Africa,West Indies,49.5,7.5,NA,TAB,Sune Luus
South Africa v West Indies,Player Runs,South Africa,West Indies,99.5,101,NA,TAB,Sune Luus
South Africa v West Indies,Player Runs,South Africa,West Indies,9.5,1.42,NA,TAB,Tazmin Brits
South Africa v West Indies,Player Runs,South Africa,West Indies,24.5,2.4,NA,TAB,Tazmin Brits
South Africa v West Indies,Player Runs,South Africa,West Indies,49.5,5.5,NA,TAB,Tazmin Brits
South Africa v West Indies,Player Runs,South Africa,West Indies,99.5,51,NA,TAB,Tazmin Brits
