match,market,home_team,away_team,player_name,player_team,opposition_team,price
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Matt Taylor,London Spirit,Welsh Fire,6
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Ravi Bopara,London Spirit,Welsh Fire,7
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Jimmy Neesham,London Spirit,Welsh Fire,8
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Matt Critchley,London Spirit,Welsh Fire,8
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Michael-Kyle Pepper,London Spirit,Welsh Fire,NA
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Ollie Pope,London Spirit,Welsh Fire,NA
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Olly Stone,London Spirit,Welsh Fire,4.9
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Ryan Higgins,London Spirit,Welsh Fire,NA
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Shimron Hetmyer,London Spirit,Welsh Fire,NA
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Zak Crawley,London Spirit,Welsh Fire,NA
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Jordan Thompson,Trent Rockets,Manchester Originals,4.8
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Luke Wood,Trent Rockets,Manchester Originals,4.5
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Oliver Robinson,Trent Rockets,Manchester Originals,4.9
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Riley Meredith,Trent Rockets,Manchester Originals,4.6
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Calvin Harrison,Trent Rockets,Manchester Originals,5.6
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Chris Green,Trent Rockets,Manchester Originals,5.25
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Imad Wasim,Trent Rockets,Manchester Originals,5.25
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,John A Turner,Trent Rockets,Manchester Originals,5.2
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Sam Cook,Trent Rockets,Manchester Originals,5.4
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Lewis Gregory,Trent Rockets,Manchester Originals,6
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Chris Jordan,Southern Brave,Northern Superchargers,4.3
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Daniel Hughes,Southern Brave,Northern Superchargers,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Finn Allen,Southern Brave,Northern Superchargers,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,James Vince,Southern Brave,Northern Superchargers,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Joe Weatherley,Southern Brave,Northern Superchargers,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Jofra Archer,Southern Brave,Northern Superchargers,4.1
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Tymal Mills,Southern Brave,Northern Superchargers,4.3
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Craig Overton,Southern Brave,Northern Superchargers,5.6
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,George Garton,Southern Brave,Northern Superchargers,5.6
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Akeal Hosein,Southern Brave,Northern Superchargers,6
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Alex Davies,Southern Brave,Northern Superchargers,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Danny Briggs,Southern Brave,Northern Superchargers,6.5
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,James Matthew Coles,Southern Brave,Northern Superchargers,10
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Kieron Pollard,Southern Brave,Northern Superchargers,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Laurie Evans,Southern Brave,Northern Superchargers,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Leus Du Plooy,Southern Brave,Northern Superchargers,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Rehan Ahmed,Southern Brave,Northern Superchargers,5.9
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Chris Cooke,Welsh Fire,London Spirit,NA
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,David Payne,Welsh Fire,London Spirit,4.6
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Ben Green,Welsh Fire,London Spirit,5.3
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,David Willey,Welsh Fire,London Spirit,5.2
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Glenn Phillips,Welsh Fire,London Spirit,NA
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Haris Rauf,Welsh Fire,London Spirit,5.3
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Joe Clarke,Welsh Fire,London Spirit,NA
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Jonny Bairstow,Welsh Fire,London Spirit,NA
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Joshua Little,Welsh Fire,London Spirit,NA
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Mason Crane,Welsh Fire,London Spirit,4.6
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Matt Henry,Welsh Fire,London Spirit,4.5
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Jake Ball,Welsh Fire,London Spirit,5.4
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Roelof van der Merwe,Welsh Fire,London Spirit,5.7
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Luke Wells,Welsh Fire,London Spirit,8.75
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Stevie Eskinazi,Welsh Fire,London Spirit,NA
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Tom Abell,Welsh Fire,London Spirit,NA
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Tom Kohler-Cadmore,Welsh Fire,London Spirit,NA
