match,player,team,line,over_price,under_price,market_name,agency
Birmingham Phoenix v Manchester Originals,C Wood,Birmingham Phoenix,3.5,17,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,C Wood,Birmingham Phoenix,4.5,41,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,F Farooqi,Manchester Originals,0.5,1.33,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,F Farooqi,Manchester Originals,1.5,2.62,1.44,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,F Farooqi,Manchester Originals,1.5,2.62,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,F Farooqi,Manchester Originals,2.5,6.5,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,F Farooqi,Manchester Originals,3.5,19,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,F Farooqi,Manchester Originals,4.5,51,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,SA Abbott,Birmingham Phoenix,0.5,1.28,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,SA Abbott,Birmingham Phoenix,1.5,2.2,1.61,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,SA Abbott,Birmingham Phoenix,1.5,2.2,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,SA Abbott,Birmingham Phoenix,2.5,5.5,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,SA Abbott,Birmingham Phoenix,3.5,15,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,SA Abbott,Birmingham Phoenix,4.5,41,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,SW Currie,Manchester Originals,0.5,1.5,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,SW Currie,Manchester Originals,1.5,3.4,1.3,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,SW Currie,Manchester Originals,1.5,3.4,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,SW Currie,Manchester Originals,2.5,11,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,SW Currie,Manchester Originals,3.5,29,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,SW Currie,Manchester Originals,4.5,101,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,T Hartley,Manchester Originals,0.5,1.33,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,T Hartley,Manchester Originals,1.5,2.62,1.44,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,T Hartley,Manchester Originals,1.5,2.62,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,T Hartley,Manchester Originals,2.5,6.5,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,T Hartley,Manchester Originals,3.5,19,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,T Hartley,Manchester Originals,4.5,51,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,TG Southee,Birmingham Phoenix,0.5,1.22,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,TG Southee,Birmingham Phoenix,1.5,2,1.72,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,TG Southee,Birmingham Phoenix,1.5,2,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,TG Southee,Birmingham Phoenix,2.5,4.33,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,TG Southee,Birmingham Phoenix,3.5,11,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,TG Southee,Birmingham Phoenix,4.5,29,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,U Mir,Manchester Originals,0.5,1.36,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,U Mir,Manchester Originals,1.5,2.75,1.4,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,U Mir,Manchester Originals,1.5,2.75,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,U Mir,Manchester Originals,2.5,7,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,U Mir,Manchester Originals,3.5,21,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,U Mir,Manchester Originals,4.5,51,NA,Player Wickets,Bet365
