match,market,home_team,away_team,player_name,price
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Akeal Hosein,101
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Ben Dwarshuis,101
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Callum Parkinson,101
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Chris Jordan,101
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Craig Overton,101
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Danny Briggs,101
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Jofra Archer,101
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Matty Potts,101
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Patrick Rhys Brown,101
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Reece Topley,101
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Thomas Edward Lawes,101
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Tymal Mills,101
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Dan Lawrence,6.75
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Jonny Bairstow,6.25
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Michael-Kyle Pepper,6.75
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Zak Crawley,6.5
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Tom Kohler-Cadmore,7.5
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Joe Clarke,8.5
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Stevie Eskinazi,8.75
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Tom Abell,10.5
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Shimron Hetmyer,17
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Ravi Bopara,26
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Chris Cooke,34
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Luke Wells,34
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Glenn Phillips,41
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Jimmy Neesham,41
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Andre Russell,67
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Ben Green,67
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,David Willey,67
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Daniel Worrall,101
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,David Payne,101
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Haris Rauf,101
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Jake Ball,101
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Liam Dawson,101
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Matt Henry,101
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Matt Taylor,101
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Nathan Ellis,101
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Olly Stone,101
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Richard Gleeson,101
London Spirit v Welsh Fire,Top Match Run Scorer,London Spirit,Welsh Fire,Roelof van der Merwe,101
