match,player,team,line,over_price,under_price,market_name,agency
Trent Rockets v Oval Invincibles,S Curran,Oval Invincibles,19.5,1.9,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,S Curran,Oval Invincibles,29.5,2.62,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,S Curran,Oval Invincibles,49.5,6,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,S Curran,Oval Invincibles,69.5,17,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,T Banton,Trent Rockets,9.5,1.36,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,T Banton,Trent Rockets,19.5,1.8,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,T Banton,Trent Rockets,20.5,1.83,1.83,Player Runs,Bet365
Trent Rockets v Oval Invincibles,T Banton,Trent Rockets,29.5,2.37,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,T Banton,Trent Rockets,49.5,4.33,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,T Banton,Trent Rockets,69.5,7,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,TP Alsop,Trent Rockets,9.5,1.44,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,TP Alsop,Trent Rockets,17.5,1.83,1.83,Player Runs,Bet365
Trent Rockets v Oval Invincibles,TP Alsop,Trent Rockets,19.5,2,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,TP Alsop,Trent Rockets,29.5,2.62,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,TP Alsop,Trent Rockets,49.5,6.5,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,TP Alsop,Trent Rockets,69.5,21,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,WG Jacks,Oval Invincibles,9.5,1.33,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,WG Jacks,Oval Invincibles,19.5,1.72,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,WG Jacks,Oval Invincibles,22.5,1.83,1.83,Player Runs,Bet365
Trent Rockets v Oval Invincibles,WG Jacks,Oval Invincibles,29.5,2.2,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,WG Jacks,Oval Invincibles,49.5,4.33,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,WG Jacks,Oval Invincibles,69.5,6,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,BM Duckett,Birmingham Phoenix,9.5,1.3,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,BM Duckett,Birmingham Phoenix,19.5,1.66,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,BM Duckett,Birmingham Phoenix,24.5,1.83,1.83,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,BM Duckett,Birmingham Phoenix,29.5,2.1,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,BM Duckett,Birmingham Phoenix,49.5,4,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,BM Duckett,Birmingham Phoenix,69.5,5,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,JL Smith,Birmingham Phoenix,9.5,1.44,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,JL Smith,Birmingham Phoenix,17.5,1.83,1.83,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,JL Smith,Birmingham Phoenix,19.5,2,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,JL Smith,Birmingham Phoenix,29.5,2.62,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,JL Smith,Birmingham Phoenix,49.5,6,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,JL Smith,Birmingham Phoenix,69.5,10,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,LS Livingstone,Birmingham Phoenix,9.5,1.44,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,LS Livingstone,Birmingham Phoenix,16.5,1.83,1.83,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,LS Livingstone,Birmingham Phoenix,19.5,2,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,LS Livingstone,Birmingham Phoenix,29.5,2.75,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,LS Livingstone,Birmingham Phoenix,49.5,6.5,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,LS Livingstone,Birmingham Phoenix,69.5,17,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,M Hurst,Manchester Originals,9.5,1.4,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,M Hurst,Manchester Originals,18.5,1.83,1.83,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,M Hurst,Manchester Originals,19.5,1.9,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,M Hurst,Manchester Originals,29.5,2.62,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,M Hurst,Manchester Originals,49.5,4.5,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,M Hurst,Manchester Originals,69.5,8,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,MDE Holden,Manchester Originals,9.5,1.36,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,MDE Holden,Manchester Originals,19.5,1.83,1.83,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,MDE Holden,Manchester Originals,19.5,1.83,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,MDE Holden,Manchester Originals,29.5,2.5,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,MDE Holden,Manchester Originals,49.5,5,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,MDE Holden,Manchester Originals,69.5,8,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,MM Ali,Birmingham Phoenix,9.5,1.36,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,MM Ali,Birmingham Phoenix,19.5,1.8,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,MM Ali,Birmingham Phoenix,20.5,1.83,1.83,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,MM Ali,Birmingham Phoenix,29.5,2.37,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,MM Ali,Birmingham Phoenix,49.5,4,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,MM Ali,Birmingham Phoenix,69.5,6.5,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,PD Salt,Manchester Originals,9.5,1.3,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,PD Salt,Manchester Originals,19.5,1.66,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,PD Salt,Manchester Originals,23.5,1.83,1.83,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,PD Salt,Manchester Originals,29.5,2.1,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,PD Salt,Manchester Originals,49.5,4,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,PD Salt,Manchester Originals,69.5,5.5,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,PI Walter,Manchester Originals,9.5,1.5,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,PI Walter,Manchester Originals,15.5,1.83,1.83,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,PI Walter,Manchester Originals,19.5,2.1,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,PI Walter,Manchester Originals,29.5,3,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,PI Walter,Manchester Originals,49.5,8,NA,Player Runs,Bet365
Birmingham Phoenix v Manchester Originals,PI Walter,Manchester Originals,69.5,21,NA,Player Runs,Bet365
