match,market,home_team,away_team,player_name,player_team,opposition_team,price
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Abrar Ahmed,San Francisco Unicorns,Washington Freedom,4.9
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Brody L Couch,San Francisco Unicorns,Washington Freedom,4.9
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Matt Henry,San Francisco Unicorns,Washington Freedom,4.3
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Carmi le Roux,San Francisco Unicorns,Washington Freedom,5.3
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Hassan Khan,San Francisco Unicorns,Washington Freedom,5.9
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Corey Anderson,San Francisco Unicorns,Washington Freedom,9
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Finn Allen,San Francisco Unicorns,Washington Freedom,NA
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Haris Rauf,San Francisco Unicorns,Washington Freedom,3.8
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Jake Fraser-McGurk,San Francisco Unicorns,Washington Freedom,NA
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Josh Inglis,San Francisco Unicorns,Washington Freedom,NA
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Liam Plunkett,San Francisco Unicorns,Washington Freedom,4.9
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Juanoy Drysdale,San Francisco Unicorns,Washington Freedom,5.3
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Matt Short,San Francisco Unicorns,Washington Freedom,NA
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Pat Cummins,San Francisco Unicorns,Washington Freedom,4.2
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Sanjay Prasad Krishnamurthi,San Francisco Unicorns,Washington Freedom,NA
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Sherfane Rutherford,San Francisco Unicorns,Washington Freedom,NA
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Tajinder Singh,San Francisco Unicorns,Washington Freedom,6.5
