match,home_team,away_team,market,player_name,line,over_price,agency
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 4s,Moises Henriques,1.5,1.87,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 4s,Moises Henriques,2.5,2.55,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 4s,Moises Henriques,3.5,3.4,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 4s,Moises Henriques,4.5,4.5,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 4s,Moises Henriques,5.5,5.5,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 4s,Jordan Silk,0.5,1.5,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 4s,Jordan Silk,1.5,2.25,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 4s,Jordan Silk,2.5,3.3,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 4s,Jordan Silk,3.5,4.7,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 4s,Jordan Silk,4.5,6,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 4s,Jordan Silk,5.5,8,Pointsbet
